字	对应向量	训练样本数1000
赆	[-1.3780885   0.73981774 -1.5428722  -0.24733591  3.1121383 ]
嘉	[-0.16112766  0.01529287 -0.56277895 -1.0721202   0.78847843]
界	[-1.2462685  -0.33709475  0.02272996  0.5798243   1.1354599 ]
沟	[-0.6033093   2.2248468  -0.34229428 -0.3352211   0.13764735]
炙	[ 0.67184657  1.0442904   0.3442796  -0.82155675 -1.8803731 ]
胥	[ 0.40008506  0.49854237  1.2515249  -0.8173251  -0.6298446 ]
炽	[-0.2786444 -0.8057211  0.8927516  0.5896368  1.7958215]
斁	[ 1.4035126   1.40522     0.62441015 -0.92300344  0.08100281]
锽	[0.5985251  0.404713   0.07339903 1.2258228  0.7863265 ]
蓟	[-0.24279147 -0.8562745   0.84656954 -1.1043869   2.2232604 ]
弭	[ 1.4639534  -0.26756883  0.7152158   1.0484304   0.88073623]
径	[0.576295   0.838074   0.13097993 0.7708624  1.4720397 ]
巳	[ 0.735457   -1.2030292  -0.01766134  1.0991371   0.41617438]
瑟	[ 0.9178408  -0.5455598  -2.0578334  -1.973152    0.16853318]
便	[-1.7567593   0.788033    0.9091594   0.96274304 -1.3964937 ]
走	[-0.8033097  -0.65681314  0.03904101  0.10297748 -0.86451757]
顷	[-0.82294387 -0.35742813  0.38314006  0.86261564 -0.5448144 ]
哢	[ 0.675764    0.37278646 -0.40525177 -2.479117    0.1952146 ]
僧	[-0.14380547 -0.7710296   0.17036149 -0.94566214 -0.8890558 ]
囚	[-0.47451076 -1.1388317   1.8511639  -1.3166834  -0.33800617]
侠	[-2.6715784  -0.50112    -0.2875776  -0.75342965 -0.62901574]
漫	[-0.76353693 -1.0301344   0.08197119  0.04877134  0.38711917]
锯	[ 0.6159927   0.09297115  0.25646347 -1.7150147  -1.5788594 ]
纽	[ 1.9648833 -1.6402566 -2.451983  -0.5013169 -1.0577435]
少	[ 0.05457444  0.38583714  0.21756667 -0.9215872   1.2538967 ]
凉	[ 0.5325302  -0.12860318 -0.30016118 -0.27761844 -0.6951752 ]
救	[ 0.65379643  0.3548776   2.3059585  -0.37049007  0.37432486]
争	[ 2.2578387  -0.34969836 -0.7694894  -0.28165212 -2.168821  ]
弱	[-0.6127163  -1.0726393  -0.20048961 -0.20166993 -1.1786642 ]
叨	[-0.92123115 -1.7272506   0.14215373 -0.04013115  0.34669492]
祭	[-0.0072279  -0.26891512 -1.7940212   0.15091902  0.17076567]
牧	[-0.5926606   0.16785948  1.2893583   0.5659862  -1.3217498 ]
冲	[ 0.23158973 -1.31078    -0.31098264  0.374196    2.2067256 ]
繇	[0.16044548 1.3979522  0.4349633  0.9881636  1.3430111 ]
忽	[ 0.01681924 -1.0467031  -0.04390046  1.151754   -0.82365733]
凄	[ 1.491521    2.2991896  -0.71777046 -0.6751867   0.29709575]
最	[ 2.6268141   0.6221835  -2.152516   -0.27589622  1.262709  ]
簧	[ 0.9083438   2.1237662   0.6097995   0.15365428 -0.34284052]
请	[ 0.6728144  0.3876406  0.9668565 -0.6210143 -2.0702155]
色	[ 0.952521   -0.73563653  0.52941525  0.4209128  -0.8857648 ]
寅	[ 0.436249    1.2606415  -0.5249425   0.98821735  1.2011794 ]
方	[-0.8468304   1.4583791   0.22885153 -1.1739309  -0.32263798]
蕙	[-1.2658819   0.04102569 -0.87042    -0.29849726  0.6513878 ]
髻	[-0.71675813 -2.7305152  -2.0756967   1.013968    0.94890493]
壑	[-0.03055977 -0.8891063  -0.7458098  -1.3664908  -1.7718142 ]
蛾	[-0.398545   -3.0207944  -1.2236977   0.62932885  0.01586829]
嗤	[-0.00256955  0.17346683 -0.49609795 -1.5958047   0.3190344 ]
r	[ 2.1270573  -1.7531513   0.38849312 -0.40560326  0.90245867]
跱	[ 1.3167392   0.29989654  0.7315794   0.76236266 -0.05517444]
崿	[-2.162523   -0.6764346   0.78512454  1.0883962   0.32762474]
新	[-1.2099098   0.9884445  -0.71195114  0.21416146 -0.18804242]
珀	[ 0.49107194 -0.7073798  -0.69702697  0.7754006   0.2875738 ]
轻	[-1.8454034   0.56116796 -1.9801835  -0.25400242 -0.78977656]
彰	[ 0.48108947  0.4132982   0.96027684  0.4681874  -1.8668439 ]
迪	[0.5262829 0.9645349 0.7313087 0.4268223 0.0189031]
姿	[-0.00505394 -1.3184004   0.36829194  0.54826796  0.41934925]
圆	[-0.57144445 -0.8937696   1.7259961  -0.41066757  0.55848956]
央	[ 0.10936519 -0.3600173  -0.1462638   0.01054104 -1.3797222 ]
逗	[ 0.11725245 -0.43267927  0.01456016  0.6802009  -1.3204849 ]
